Phase,T (°C),t_start,t_10%,t_90%,y_max
Ferrite,470,2.1,4.3,9.4,0.4
Ferrite,480,1.9,3.7,7.9,0.4
Ferrite,490,1.7,3.2,6.7,0.4
Ferrite,500,1.5,2.8,5.7,0.4
Ferrite,510,1.4,2.6,5,0.4
Ferrite,520,1.3,2.3,4.4,0.4
Ferrite,530,1.2,2.1,4,0.4
Ferrite,540,1.1,2,3.7,0.4
Ferrite,550,1.1,1.9,3.4,0.4
Ferrite,560,1,1.8,3.2,0.4
Ferrite,570,1,1.7,3.1,0.4
Ferrite,580,0.99,1.7,3,0.4
Ferrite,590,0.98,1.7,3.1,0.4
Ferrite,600,0.98,1.7,3.2,0.4
Ferrite,610,0.99,1.7,3.3,0.4
Ferrite,620,1,1.8,3.6,0.4
Ferrite,630,1.1,2,4.1,0.4
Ferrite,640,1.1,2.2,4.8,0.4
Ferrite,650,1.2,2.5,5.7,0.4
Ferrite,660,1.3,2.8,6.3,0.4
Ferrite,670,1.5,3.1,7.1,0.4
Ferrite,680,1.7,3.6,8.1,0.4
Ferrite,690,2,4.2,9.7,0.4
Ferrite,700,2.5,5.2,12,0.4
Ferrite,710,3.2,6.7,15,0.5
Ferrite,720,4.4,9.1,21,0.6
Ferrite,730,6.4,13,31,0.6
Ferrite,740,10,22,50,71.2
Ferrite,750,20,41,94,25.3
Ferrite,760,49,101,231,1e-13
Ferrite,770,202,419,958,1e-13
Ferrite,780,4910,10200,23200,1e-13
Ferrite,790,1000000,2000000,3000000,1e-13
Perlite,570,3.4,7.1,16,0.8
Perlite,582.7,3.4,7,16,0.8
Perlite,595.3,3.4,7,16,0.8
Perlite,608,3.5,7.2,17,0.8
Perlite,620.7,3.7,7.7,18,0.8
Perlite,633.3,4,8.3,19,0.8
Perlite,646,4.6,9.4,22,0.8
Perlite,658.7,5.4,11,25,0.8
Perlite,671.3,6.7,14,31,0.8
Perlite,684,8.8,18,42,0.8
Perlite,696.7,13,26,61,0.8
Perlite,701.4,21,44,99.6,0.6
Perlite,706,42,87,200,0.52
Perlite,710.7,121,250,572,0.4
Perlite,715.3,825,1710,3900,0.4
Perlite,720,1000000,2000000,3000000,1e-16
Bainite,10,1000000,2000000,3000000,0.6
Bainite,21,1000000,2000000,3000000,0.6
Bainite,31.9,1000000,2000000,3000000,0.6
Bainite,42.9,1000000,2000000,3000000,0.6
Bainite,53.8,1000000,2000000,3000000,0.6
Bainite,64.8,1000000,2000000,3000000,0.6
Bainite,75.7,1000000,2000000,3000000,0.6
Bainite,86.7,1000000,2000000,3000000,0.6
Bainite,97.6,1000000,2000000,3000000,0.6
Bainite,108.6,1000000,2000000,3000000,0.6
Bainite,119.5,1000000,2000000,3000000,0.6
Bainite,130.5,1000000,2000000,3000000,0.6
Bainite,141.4,537000,1110000,2960000,0.6
Bainite,152.4,245000,508000,1340000,0.6
Bainite,163.3,116000,241000,639000,0.6
Bainite,174.3,57400,119000,315000,0.6
Bainite,185.2,29400,60800,161000,0.6
Bainite,196.2,15500,32100,85100,0.6
Bainite,207.2,8450,17500,46400,0.6
Bainite,218.1,4740,9820,26000,0.6
Bainite,229.1,2730,5670,15000,0.6
Bainite,240,1620,3350,8890,0.6
Bainite,251,982,2040,5390,0.6
Bainite,261.9,610,1260,3350,0.6
Bainite,272.9,388,803,2120,0.6
Bainite,283.8,251,521,1380,0.6
Bainite,294.8,166,345,914,0.6
Bainite,305.7,112,233,617,0.6
Bainite,316.7,77,160,425,0.6
Bainite,327.6,54,112,297,0.6
Bainite,338.6,39,80,212,0.6
Bainite,349.5,28,58,154,0.6
Bainite,360.5,21,43,113,0.6
Bainite,377.1,15,32,85,0.6
Bainite,382.4,12,24,64,0.6
Bainite,387.8,9.1,19,50,0.6
Bainite,393.2,7.1,15,39,0.6
Bainite,398.5,5.7,12,31,0.6
Bainite,403.9,4.6,9.5,25,0.6
Bainite,409.3,3.8,7.8,21,0.6
Bainite,410,3.1,6.5,17,0.6
Bainite,420,2.7,5.5,15,0.6
Bainite,430,2.3,4.8,13,0.6
Bainite,440,2,4.2,11,0.6
Bainite,450,1.8,3.7,9.9,0.6
Bainite,460,1.7,3.4,9.1,0.6
Bainite,470,1.5,3.2,8.5,0.6
Bainite,480,1.5,3.1,8.1,0.6
Bainite,490,1.5,3,8.1,0.6
Bainite,500,1.5,3.1,8.3,0.6
Bainite,510,1.6,3.4,8.9,0.6
Bainite,520,1.8,3.8,10,0.6
Bainite,530,2.3,4.7,12,0.6
Bainite,540,3.2,6.6,17,0.6
Bainite,550,3.8,7.8,18,0.6
Bainite,560,3.6,7.4,17,0.6
Bainite,570,3.4,7.1,16,0.6
Bainite,580,3.4,7,16,0.6
